;No;;;Tanggal;;;PM10;;;SO2;;;CO;;;O3;;;NO2;;;Output;;
211;;;30/07/2014;;;---;;;---;;;---;;;---;;;---;;;;B;;
212;;;31/07/2014;;;---;;;---;;;---;;;---;;;---;;;;B;;
213;;;08/01/2014;;;---;;;---;;;---;;;---;;;---;;;;B;;
214;;;08/02/2014;;;---;;;---;;;---;;;---;;;---;;;;B;;
215;;;08/03/2014;;;---;;;---;;;---;;;---;;;---;;;;B;;
216;;;08/04/2014;;;---;;;---;;;---;;;---;;;---;;;;B;;
217;;;08/05/2014;;;---;;;---;;;---;;;---;;;---;;;;B;;
218;;;08/06/2014;;;---;;;36,21;;;0,04;;;53,94;;;9,02;;;;B;;
219;;;08/07/2014;;;---;;;33,7;;;0,08;;;48,42;;;8,95;;;;B;;
220;;;08/08/2014;;;---;;;32,15;;;0,06;;;49,14;;;8,85;;;;B;;
221;;;08/09/2014;;;---;;;31,15;;;0,1;;;58,23;;;9,37;;;;B;;
222;;;08/10/2014;;;---;;;30,89;;;0,01;;;60,7;;;9,18;;;;B;;
223;;;08/11/2014;;;---;;;29,88;;;0,03;;;58,56;;;8,54;;;;B;;
224;;;08/12/2014;;;---;;;30,41;;;0,12;;;52,43;;;9,29;;;;B;;
225;;;13/08/2014;;;---;;;30,26;;;0,12;;;63,58;;;9,28;;;;B;;
226;;;14/08/2014;;;---;;;28,67;;;0,01;;;69,14;;;9,01;;;;B;;
227;;;15/08/2014;;;---;;;28,41;;;0,06;;;65,43;;;9,48;;;;B;;
228;;;16/08/2014;;;---;;;29,19;;;0,09;;;66,74;;;8,09;;;;B;;
229;;;17/08/2014;;;---;;;29,08;;;0,05;;;71,24;;;9,71;;;;B;;
230;;;18/08/2014;;;---;;;28,46;;;0,04;;;64,22;;;9,19;;;;S;;
231;;;19/08/2014;;;---;;;30,37;;;0,26;;;58,06;;;8,81;;;;S;;
232;;;20/08/2014;;;---;;;30,06;;;0,15;;;64,98;;;12,36;;;;B;;
233;;;21/08/2014;;;---;;;31,55;;;0,15;;;47,46;;;10,29;;;;B;;
234;;;22/08/2014;;;---;;;30,06;;;0,15;;;65,7;;;11,61;;;;B;;
235;;;23/08/2014;;;---;;;29,34;;;0,12;;;51,39;;;7,92;;;;B;;
236;;;24/08/2014;;;---;;;29,17;;;0,12;;;50,43;;;7,91;;;;B;;
237;;;25/08/2014;;;---;;;29,12;;;0,1;;;56,79;;;8,55;;;;B;;
238;;;26/08/2014;;;---;;;27,91;;;0,08;;;70,93;;;9,98;;;;S;;
239;;;27/08/2014;;;---;;;26,59;;;0,09;;;61,1;;;9,41;;;;B;;
240;;;28/08/2014;;;---;;;27,69;;;0,1;;;64,2;;;11,27;;;;B;;
241;;;29/08/2014;;;---;;;26,94;;;0,06;;;63,63;;;8,35;;;;B;;
242;;;30/08/2014;;;---;;;26,54;;;0,06;;;68,71;;;10,08;;;;B;;
243;;;31/08/2014;;;36,44;;;26,72;;;0,09;;;69,97;;;10,07;;;;B;;
244;;;09/01/2014;;;24,16;;;26,54;;;0,05;;;72,23;;;9,91;;;;B;;
245;;;09/02/2014;;;27,43;;;26,78;;;0,09;;;66,61;;;10,2;;;;B;;
246;;;09/03/2014;;;40,75;;;27,65;;;0,14;;;71,57;;;11,45;;;;B;;
247;;;09/04/2014;;;99,55;;;30,06;;;0,33;;;83,42;;;12,81;;;;S;;
248;;;09/05/2014;;;29,47;;;28,35;;;0,08;;;73,97;;;9,81;;;;B;;
249;;;09/06/2014;;;12,02;;;28,34;;;0,22;;;50,15;;;6,75;;;;B;;
250;;;09/07/2014;;;25,14;;;29,88;;;0,3;;;70,09;;;9,1;;;;B;;
251;;;09/08/2014;;;35,24;;;31,32;;;0,3;;;85,34;;;12,55;;;;B;;
252;;;09/09/2014;;;51,72;;;29,71;;;0,23;;;71,38;;;12,14;;;;B;;
253;;;09/10/2014;;;41,41;;;29,08;;;0,19;;;81,91;;;11,41;;;;B;;
254;;;09/11/2014;;;40,03;;;27,95;;;0,15;;;71,23;;;10,64;;;;B;;
255;;;09/12/2014;;;85,86;;;28,7;;;0,36;;;79,22;;;13,48;;;;S;;
256;;;13/09/2014;;;156,58;;;29,03;;;0,6;;;91,28;;;12,81;;;;S;;
257;;;14/09/2014;;;75,22;;;29,55;;;0,2;;;77,51;;;11,01;;;;S;;
258;;;15/09/2014;;;126,48;;;33,2;;;0,51;;;87,35;;;13,28;;;;S;;
259;;;16/09/2014;;;248,48;;;33,24;;;1;;;97,29;;;14,21;;;;TS;;
260;;;17/09/2014;;;155,36;;;31,57;;;0,61;;;64,67;;;14,1;;;;TS;;
261;;;18/09/2014;;;193,95;;;30,36;;;0,76;;;20,42;;;13,99;;;;TS;;
262;;;19/09/2014;;;80,97;;;30,76;;;0,45;;;14,35;;;14,14;;;;S;;
263;;;20/09/2014;;;24,64;;;29,33;;;0,12;;;0,41;;;11,48;;;;S;;
264;;;21/09/2014;;;45,86;;;28,4;;;0,29;;;8,32;;;10,81;;;;B;;
265;;;22/09/2014;;;60,94;;;30,83;;;0,22;;;27,29;;;12,53;;;;S;;
266;;;23/09/2014;;;140,69;;;47,06;;;0,51;;;29,06;;;12,43;;;;S;;
267;;;24/09/2014;;;151,14;;;30,64;;;0,83;;;30,88;;;11,47;;;;TS;;
268;;;25/09/2014;;;86,66;;;29,85;;;0,61;;;29,7;;;10,86;;;;S;;
